iter	Passed	Remaining
0	73	73541
1	91	45900
2	105	35113
3	118	29577
4	132	26368
5	146	24287
6	162	23077
7	185	22971
8	204	22498
9	222	22070
10	234	21071
11	246	20308
12	259	19700
13	272	19180
14	284	18706
15	304	18713
16	324	18757
17	340	18549
18	356	18432
19	374	18328
20	390	18182
21	406	18057
22	424	18039
23	450	18307
24	462	18045
25	473	17749
26	486	17540
27	501	17394
28	513	17207
29	526	17029
30	539	16856
31	555	16791
32	568	16664
33	627	17831
34	650	17936
35	661	17725
36	674	17549
37	690	17473
38	712	17563
39	738	17715
40	756	17692
41	771	17607
42	791	17612
43	815	17719
44	843	17891
45	859	17818
46	884	17930
47	912	18092
48	927	17995
49	947	17998
50	993	18484
51	1012	18450
52	1029	18397
53	1043	18279
54	1059	18199
55	1074	18105
56	1090	18033
57	1106	17964
58	1122	17902
59	1143	17920
60	1162	17891
61	1176	17799
62	1191	17727
63	1207	17657
64	1221	17572
65	1238	17524
66	1260	17548
67	1277	17506
68	1293	17447
69	1309	17399
70	1325	17340
71	1340	17274
72	1356	17222
73	1374	17197
74	1390	17151
75	1408	17122
76	1427	17111
77	1446	17094
78	1459	17014
79	1472	16934
80	1485	16858
81	1520	17017
82	1554	17171
83	1573	17154
84	1589	17109
85	1603	17041
86	1616	16968
87	1632	16918
88	1645	16844
89	1661	16794
90	1677	16753
91	1692	16704
92	1707	16650
93	1728	16660
94	1760	16767
95	1785	16814
96	1811	16865
97	1838	16921
98	1850	16843
99	1865	16787
100	1889	16822
101	1903	16758
102	1917	16701
103	1930	16634
104	1945	16581
105	1957	16510
106	1973	16466
107	1987	16414
108	2003	16373
109	2016	16315
110	2031	16268
111	2047	16234
112	2061	16185
113	2074	16126
114	2089	16083
115	2106	16054
116	2121	16008
117	2137	15980
118	2152	15938
119	2166	15887
120	2178	15824
121	2191	15772
122	2204	15720
123	2219	15678
124	2233	15633
125	2247	15590
126	2260	15540
127	2274	15491
128	2287	15442
129	2302	15405
130	2316	15369
131	2331	15328
132	2345	15290
133	2361	15262
134	2375	15221
135	2388	15171
136	2401	15127
137	2412	15072
138	2425	15026
139	2439	14988
140	2453	14949
141	2466	14905
142	2482	14878
143	2494	14829
144	2508	14793
145	2521	14747
146	2539	14735
147	2554	14704
148	2572	14694
149	2587	14665
150	2605	14647
151	2619	14616
152	2631	14569
153	2645	14531
154	2657	14489
155	2669	14443
156	2682	14403
157	2694	14359
158	2705	14309
159	2717	14264
160	2729	14226
161	2740	14176
162	2753	14137
163	2767	14106
164	2780	14069
165	2791	14026
166	2804	13989
167	2816	13950
168	2829	13914
169	2841	13873
170	2853	13831
171	2864	13787
172	2876	13752
173	2888	13714
174	2901	13680
175	2914	13643
176	2926	13608
177	2939	13576
178	2952	13541
179	2964	13503
180	2976	13469
181	2989	13435
182	3000	13396
183	3013	13365
184	3025	13330
185	3037	13295
186	3051	13267
187	3063	13233
188	3079	13212
189	3095	13197
190	3110	13173
191	3129	13170
192	3145	13153
193	3167	13157
194	3181	13133
195	3195	13107
196	3209	13082
197	3222	13052
198	3236	13026
199	3251	13004
200	3267	12986
201	3281	12964
202	3296	12941
203	3311	12920
204	3324	12891
205	3339	12872
206	3356	12857
207	3371	12836
208	3387	12822
209	3401	12796
210	3413	12765
211	3427	12741
212	3439	12708
213	3452	12679
214	3463	12646
215	3474	12612
216	3487	12584
217	3500	12555
218	3528	12583
219	3554	12602
220	3575	12602
221	3604	12633
222	3636	12671
223	3665	12697
224	3692	12717
225	3731	12779
226	3768	12834
227	3807	12890
228	3847	12955
229	3871	12961
230	3898	12978
231	3924	12990
